partner_id,name
1630,SWNA_Sheraton
1886,CHC_Quality_Inn
2142,Website Connect
2398,Montagne vacances
2654,cm_vioma_teb
95,booking_lowbucket
351,ms_test_b
608,Marriott_Springhill Suites
864,guestapp
1120,mhs_vioma
1376,BBHotelsItaly
1632,SWNA_LeMeridien
1888,CHC_Rodeway
2144,Viajobien
2400,cm_hsystem
2656,Hotels4Everyone_m
97,FastBooking direct
353,Olimar
610,Marriott_Fairfield Inn & Suites
866,Veronabooking
1122,bestWestern_DE
1378,ConfortelV2
1634,SWNA_W Hotels
1890,CHC_Sleep_Inn
2146,Roomdi
2402,elong_International
2658,ihg_avid
99,EuroStarsHotels
355,Viajar
612,Marriott_Residence Inn
868,Dolomiti.org
1124,happyrooms
1380,AOHostels
1636,SWNA_St Regis
1892,CHC_Suburban
2148,Dirs21_teb
2404,TravelStaytion
2660,Google Test
101,TUI web
357,Travelrepublic
614,Marriott_Towne Place Suites
870,HResV2
1126,SW_Sheraton
1382,CheapTickets
1638,SWNA_FourPoints
1894,Treebo Hotels
2150,cm_Dirs21_teb
2406,pw_Aldi-Utazas
2662,DSA
103,OpodoEx
359,Nozio
616,Marriott_Marriott Vacation Club
872,Nusatrip
1128,unused please replace
1384,WaytoStay
1640,SWNA_LColl
1896,cm_Netaffinity
2152,Abreu
2408,pw_travelfinder
2664,MaisTrip
105,logitravel
361,LeadingHotels
618,Kognitiv
874,travel.ru
1130,LagodiGardaVeneto
1386,cm_webhotelier
1642,SWNA_Westin
1898,Hutchgo
2154,hotelreservierungv3
2410,Accor_Rixos
2666,alpharooms_tFCV2_2666
107,LTUR
363,Globalbooking
620,Husa
876,mhs_CaesarData
1132,ElbaPromotion
1388,Dreambooking
1644,SWNA_Aloft
1900,mhs_davos.ch
2156,cm_Wintrade
2412,cm_visioni
2668,Goibibo_IH
109,reserveTravel
365,Unitravel
622,Ostrovok.ru
878,tiket
1134,Belmond Enhanced
1390,hotelius_test
1646,SWNA_Element
1902,TiCaTi
2158,Surfholidays
2414,IATI
2670,Google
111,Travelclick
367,FastbookingDC
624,Glauch.de
880,Motel 6
1136,rhhoteles
1392,mhs_hotelSystems
1648,SWNA_Tribute
1904,101hotels.ru
2160,travel.ch
2416,nastani.bg
2672,ArtSeries
113,FeratelSCSI
369,Atel Hotels
626,Booking.com
882,Travellink
1138,Wyn_Ramada
1394,Extended Stay
1650,SWNA_GX
1906,Hotelnjoy
2162,migros_ferien
2418,SnowTrex
2674,mhs_stpeterording
115,FirstAustrianHotels
371,WIHP
628,OpodoExOwn
884,Premier Inn
1140,JTB
1396,snoozee_trv
1652,cm_bebetterhotel
1908,Galahotels
2164,abindenurlaubv4
2420,Homeaway
2676,Lion Travel
117,TrustInternational
373,booked.net
630,Rotana Hotels
886,Netaffinity
1142,SW_Meridien
1398,Wellness Hotel & Resorts
1654,Hotelgrouper
1910,Ikyu
2166,Travelodge UK
2422,Aqua Hotels
2678,Adriatic.hr
119,Hotelscombined
375,Hotelius
632,BookMalta
888,Hightech
1144,SW_WHotels
1400,Certified_Convention_DE
1656,dummytestpartner_matching
1912,Stayforlong
2168,Unsheeping
2424,Destination 2
2680,TrustInternationalV3
121,Agoda.com
377,wimdu
634,Trip.com
890,MarcoPolo
1146,SW_St.Regis
1402,Roomer
1658,dummytestpartner_matching_no2
1914,PalladiumAmerica
2170,Azimut
2426,Expedia_HA_CNT
2682,Ejazah
123,BookDirectRooms.com
379,Volayo
636,Hotwire
892,Netflights
1148,SW_FourPoints
1404,GoIndonesia.com
1660,Vincci Hoteles
1916,ThomasCookUK V2
2172,De Vere
2428,SpeedyBooker
2684,BarceloFC
125,Booking.com
381,booking_bucket4
638,Checkin.com.au 
894,Hoterip
1150,SW_LCollection
1406,mhs_SimpleBookin
1662,lol.travel
1918,The Ryokan
2174,Radisson_RadissonBlu NA
2430,UniversityRooms
2686,cm_TravelAps
127,CarlsonHotels.com
383,atrapalo_new
640,Mercury Direct
896,La Quinta Enhanced
1152,SW_Westin
1408,HotwireV2
1664,profitroom
1920,HotelscanV2
2176,Radisson_Radisson LATAM
2432,Matching Vacation Rental Test Partner
2688,BarceloDerbysoft
129,ChoiceHotels.com
385,Cityzenbooking
642,TabletHotels
898,trivago direktbuchung
1154,SW_Aloft
1410,dehoga_classification
1666,CHI_Ascend
1922,ThomasCookBEPW
2178,Radisson_Park Inn NA
2434,cm_verticalbooking_teb
2690,almundo
131,EasyClickTravel.com
387,Cityhotels.com
644,Cyprotels
900,vegas
1156,mangocity
1412,Airtours Peakwork
1668,Onyx Hotels
1924,h_canopy
2180,veltravel.ro
2436,cm_simplebooking_teb
2692,Cleartrip_tFC
133,ebookers.com
389,havasVoyages
646,Accor_Adagio_Access
902,HotelProntoV2
1158,Wyn_HoJo
1414,NeoUK_Montcalm
1670,Reservalia
1926,h_curio
2182,mhs_flemings
2438,cm_TheBookingFactory
2694,cm_GimH
135,Expedia
391,HotelClub
648,Visitravel
904,mhs_busyrooms
1160,Wyn_Hawthorn
1416,NeoUK_Shaftesbury
1672,cm_hotelnetsolutions
1928,La France
2184,BlueBayWIHP
2440,Ace Hotels
2696,cm_DigitalHotelier
137,FastBooking.com
393,Millennium Hotels
650,deprecated
906,Port Aventura
1162,Wyn_DaysInn
1418,NeoUK_Parkgrand
1674,neckermann_be
1930,JT Touristk
2186,cm_Neobookings_teb
2442,cm_SysdatTurismo
2698,cm_BeGenius
139,gtahotels.com
395,AgodaV2
396,Hotels & Preferences
652,Travelocity US
908,AirFastTickets
1164,Wyn_Wyndham
1420,IberostarUS
1676,cm_capcorn
1932,Idiso V2
2188,Sercotel
2444,Lance Hoteis
2700,Tokyu Hotels
141,Hilton.com
398,nhwihp
654,Hotelsclick
910,servigroup
1166,Wyn_Baymont
1422,InterCity
1678,EasyToBookv2
1934,Red Roof
2190,Opodo
2446,SnapTravel
2702,EventsToGo.com
143,Hotel.info
400,Vilagale
656,Dorint
912,Maritim
1168,Wyn_Travelodge
1424,cm_Simplex
1680,Hotels4Everyone
1936,SynxisNewPS
2192,MakeMyTrip_DH
2448,cm_prestige
2704,GlobalTravel
145,HotelBook.com
402,Travelgenio
658,Zenit
914,hotell.no
1170,Wyn_Super8
1426,mhs_GuestCentric
1682,hotelreservation.com
1938,morgansHotelGroup
2194,cm_Iperbooking
2450,EAN
2706,cm_BookingExpert
147,HotelClub.com
404,LowcostUK
660,LifeClass Hotels
916,dnata
1172,Wyn_Wingate
1428,eurosun.ch
1684,travel24
1940,Ena
2196,cm_Octorate
2452,oyo_v2
2708,Gulliver
149,Hotelopia.com
406,expediav2
662,Achat Hotels
918,qmango
1174,qmango
1430,mhs_paraty
1686,data_collection_dummy
1942,cm_Ericsoft
2198,In-Italia
2454,Astotel
2710,Marriott_SPG_Aloft
151,Hotels.com
408,ThomasCookFr
664,Concierge Hotels
920,Pegasus Enhanced
1176,Zhuna
1432,mr&mrssmith
1688,booking_interface_provider
1944,cm_Masch
2200,Hideaways
2456,Staycity
2712,Marriott_SPG_Element
153,hotels4U.com
410,tourismussuite
666,Ltur Peakwork
922,G6_Motel6
1178,elvoline
1434,hoteling
1690,booking_sub
1946,Jalan_Global
2202,ihg_Kimpton
2458,HU
2714,Marriott_SPG_FourPoints
155,HotelsChart.com
412,B & B Hotels
668,Oktogo.ru
924,Kerzner Hotels
1180,17U
1436,WorldBoutiqueHotel_Awards
1692,priceline_sub
1948,Eshet
2204,mhs_silken
2460,mhs_derbysoft
2716,Marriott_SPG_LeMeridien
157,hrs.com
414,Idiso
670,AllAboutHotels
926,Accor_TheSebel
1182,cancelon
1438,Greentourism_Certification
1694,expedia_target_list
1950,TravelBook.ph
2206,LifeClass
2462,CTrip_CN
2718,Marriott_SPG_LuxuryCollection
159,InterContinental.com
416,Swissotel
672,Goibibo
928,mhs_HotelNetSolu
1184,pegipegi
1440,Greenkey_Certification
1696,tripadvisor
1952,cm_Stardekk
2208,IVH Hotels
2464,cm_Misterbooking
2720,Marriott_SPG_Sheraton
161,lastminute.com
418,Eurostars
674,asiarooms
930,Hot.es
1186,SRT13179
1442,Green_Globe_Certifiaction
1698,Jalan_JP
1954,cm_kognitiv
2210,adriagate
2466,Travel MaMa
2722,Marriott_SPG_StRegis
163,LateRooms.com
420,OzonTravel
676,Travelguru
932,Red Carnation Hotels
1188,Expo Hotels
1444,Certified_Green_Certification
1700,FRHI_Raffles
1956,fvacaciones
2212,1-2-FLY.com
2468,Destination Florence
2724,Marriott_SPG_Tribute
165,NeedItNow.com
422,BSP Hotels
678,Zleepinghotels
934,Travelocity CAv2 
1190,Ohmyhotel
1446,LEED Hotels_Green_Certification
1702,FRHI_Swissotel
1958,cm_hotel.bb
2214,cm_Ermeshotels_teb
2470,Oaks Hotels
2726,Marriott_SPG_WHotels
167,OctopusTravel.com
424,Keytel
680,mhs_synxis
936,AyreHoteles
1192,ittjartam
1448,adrialin
1704,FRHI_Fairmont
1960,cm_Derbysoft
2216,cm_RoomCloud_teb
2472,Mitriboo
2728,Marriott_SPG_Westin
169,Orbitz.com
426,Availpro
682,ASDA-travel
938,helloworld
1194,GnaHotelSolutions
1450,AmericInn
1706,Hotelscan
1962,Visit Barbados
2218,Vienna House
2474,cm_MyComp
2730,Marriott_SPG_Vistana
171,Otel.com
428,Availpro
684,Gestione Albergo
940,RoomoAirtickets
1196,Rurubu
1452,JenHotels
1708,ebookers_ews
1964,cm_eRevMax
2220,G6_Studio 6
2476,Ozmall
2732,loveholidays_V2
173,Priceline.com
430,Availpro
686,Mooon
942,ThinkHotels
1198,DSBW
1454,Jurys Inn v2
1710,skooshV2
1966,ITravel
2222,Tui.pl
2478,Quovai
2734,Yatra_2.0
175,RatesToGo.com
432,Grecotel
688,Dirs21
944,Shangri-La Hotels
1200,Sabre
1456,Hanatour
1712,MuchoViaje
1968,Okura
2224,sastiticket.com
2480,Far East Hospitality
2736,MGM_Derbysoft
177,ReserveTravel.com
434,hostelbookers
690,Beds10.com
946,Kerry
1202,OKTrip
1458,DaTravel
1714,cm_bukly
1970,JAL
2226,Blastness
2482,Village Hotels
2738,Meininger Hotels
179,RoamFree.com
436,Ramada
692,Travel24-Hotels
948,Traders
1204,montigo
1460,triyolo
1716,bookingcom2ilb
1972,Nikko
2228,HRS2
2484,lastminute
2740,cm_cBooking
181,Skoosh.com
438,Canarias
694,Iperbooking.net
950,trivago custom booking engine
1206,Elumbus
1462,otel.com V2
1718,Flair Hotels
1974,Bedfinder
2230,Hotel.de V4
2486,cm_Passepartout
2742,mymexico
183,Travelmate.com.au
440,Melia
696,Travelodge
952,OdkryjPolske.pl
1208,mhs_Feratel
1464,Vrijuit
1720,cm_Ermeshotels
1976,DerbyIndividual
2232,Travelist
2488,cm_Syncrez
2744,onefinestay
442,Vincci Hoteles
698,EKS Reisen
954,Lyon Metropole
1210,OstrovokV2
1466,Certified_green_DE
1722,Playasol
1978,Qantas
2234,inair.travel
2490,mhs_gruenten
187,Venere.com
444,Liburnia
700,Sembo
956,Leonardo_images
1212,wubook
1468,cm_easiSOFT
1724,cm_GNAhotelsolutions
1980,HolidayMe
2236,Hyatt
2492,cm_AxisRooms
189,EasyToBook.com
446,CRSTurkey
702,Tui Peakwork
958,Jetsetter
1214,Travelrepublic_STAGE
1470,eholiday.pl
1726,cm_mmone
1982,JTB Hawaii
2238,Loews Hotels
2494,Mayflower
191,Travelocity.com
448,Pegasus
704,Galahotels
960,MGM_Resorts
1216,ole Hotels
1472,Customer Alliance
1728,cm_mirai
1984,cm_hotel-net
2240,Mandarin Oriental Hotel
2496,Hilton_CNT
193,Synxis
450,TOP International
706,Travelocity CA
962,mhs_BookAssist
1218,Tempus
1474,Dadeda
1730,Bentour
1986,cm_cultuzz
2242,Trump_synxis
2498,Choice CNT
195,staypoland
452,Hotels.comV2
708,CitizenM
964,Tivoli Hotels
1220,Marriott_Conference Center
1476,Hotel Tonight
1732,FTI Peakwork
1988,Travelgator
2244,BentourV2
2500,Caesars
197,NetHotels
454,Only Apartments
710,Leonardo Hotels
966,BestDay
1222,Marriott_Gaylord Hotels
1478,Ramada CBE
1734,DummyFastConnectPartner
1990,Jumia
2246,TFE_Adina
2502,Club_Quarters_Hotels_2
199,skoosh
456,Bokahotell
712,superbreak
968,NordicChoice
1224,Marriott_Executive Apartments
1480,accor_Associated
1736,Groupon
1992,Jovago_Asia
2248,TFE_Medina
2504,Millennium Hotels
201,Octopustravel_UK_IT
458,lastminuteholiday.de
714,roomsXXL
970,Tui Peakwork AT
1226,Marriott_MOXY
1482,Rezexchange
1738,GuletPeakwork
1994,Expedia_AB
2250,TFE_Rendezvous
2506,cm_AsiaTech
203,Rumbo
460,GIMH
716,CityTravel
972,Jovago
1228,Marriott_Protea Hotels
1484,Bahia Principe
1740,BookGreece
1996,hotel.de V3
2252,TFE_Travelodge
2508,Derag
205,getaroom.com
462,Vacenza
718,VoyagesSNCFv2
974,lowcostholV2
1230,mhs_Resavio
1486,Marriott_Delta Hotels
1742,GoNorthCyprus
1998,cm_base7booking
2254,TFE_Vibe
2510,Alohaviajes
207,getaroom.com
464,Apollo
720,MySwitzerland.com
976,ihg_evenhotels
1232,Travelbook
1488,MyHotelShop CBE
1744,trivago seo
2000,mhs_visioni
2256,TFE_Individual
2512,Ilunion
209,Unister
466,Booking_IT
722,JurysInn
978,otelz.com
1234,Melia_CN
1490,Ritz Carlton
1746,please_reuse_this_id
2002,DerbyIBC
2258,Preferred Hotels
2514,tripmoba
211,worldhotels
468,Sercotel
724,H2 Hoteles
980,TrustYou
1236,Alltours Peakwork
1492,mhs_GlobeKey
1748,mhs_verticalbook
2004,Occupancy
2260,MakeMyTrip_IH
2516,SuperTravelDiscount
213,derag
470,SercotelHotelwebsite
726,Snoozee
982,Maritim Enhanced
1238,ARCOTEL
1494,FC Regal Hotels
1750,oyo
2006,Splitty Travel
2262,Flixhotels
2518,cm_Elloha
215,HotelVault
472,Witbooking
728,tatil.com
984,Vinivi
1240,goldenfeeds
1496,travelbag
1752,myTour
2008,mhs_mirai
2264,cm_bookwize
2520,Tajawal
217,Clever-Hotels
474,Hotels.com_EEM
730,Balladins
986,Viajar
1242,ayre
1498,CheapCaribbean
1754,Vacatia.com
2010,loveholidays.com
2266,Justaway(Eurotours)
2522,cm_mirai_teb
219,LowcostHolidays
476,weg.de
732,BBHotelsFrance
988,Yododo
1244,Wyn_TRYP
1500,CHD_Choice US
1756,ZenHotels
2012,cm_egds
2268,Traventia
2524,Fletcher Hotels
221,nh hoteles
478,LastMinuteLondon.co.uk
734,esky.pl v2
990,jackrabbit
1246,Hotelstore
1502,CHD_Cambria
1758,BestWestern_CNT
2014,SWAS_Sheraton
2270,bookingmatch.com
2526,Relux
223,Travelplanet24
480,Corinthia Hotels
736,Hotusa independent hotels
1248,IIQcheck
1504,CHD_Ascend
1760,VNTrip
2016,SWAS_LeMeridien
2272,Onlyapartments
2528,cm_Dhynet
225,FeratelDSI
482,Holidaynights.co.uk
738,MalaPronta
1250,Appleworld
1506,CHD_Suburban
1762,PanPacific
2018,SWAS_WHotels
2274,SWLAT_Sheraton
2530,cm_Soltourism
227,Prestigia
484,Marriott_CRS
740,Valamar
1252,weholiday
1508,CHD_Sleep_Inn
1764,Geostar
2020,SWAS_St.Regis
2276,SWLAT_LeMeridien
2532,Nihon_Ryoko
229,Traveltainment
486,HotelPronto
742,ihg_interconti
1254,HotelPower
1510,CHD_Rodeway_Inn
1766,Ezee
2022,SWAS_FourPoints
2278,SWLAT_WHotels
2534,Red Carnation
231,Accor_adagio
488,Apex
744,Pentahotels
1256,RoomHopper
1512,CHD_ComfortSuite
1768,Bungalowspecials
2024,SWAS_Luxury
2280,SWLAT_St.Regis
2536,ITS Reisen_PW
233,Accor_IbisStyles
490,Profi Tours
746,Innstant
1258,Evenia Hotels
1514,CHD_Comfort_Inn
1770,HotelTonight
2026,SWAS_Westin
2282,SWLAT_FourPoints
2538,cm_Delphinet
235,Accor_CoraliaClub
492,Resfeber
